id,name,price,discounted_price,promotion,size,weight,items_in_pack,date,sales
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-10 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-11 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-12 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-13 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-14 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-15 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-16 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-17 00:10:34.035441,3
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-18 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-19 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-20 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-21 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-22 00:10:34.035441,2
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-23 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-24 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-25 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-26 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-27 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-28 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-29 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-30 00:10:34.035441,4
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-03-31 00:10:34.035441,3
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-01 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-02 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-03 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-04 00:10:34.035441,4
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-05 00:10:34.035441,6
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-06 00:10:34.035441,3
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-07 00:10:34.035441,12
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-08 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-09 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-10 00:10:34.035441,2
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-11 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-12 00:10:34.035441,6
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-13 00:10:34.035441,5
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-14 00:10:34.035441,3
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-15 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-16 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-17 00:10:34.035441,1
P001,Художественный Металл,40.09,36.86,0,1.0618101782710436,1906.3571821788407,11,2024-04-18 00:10:34.035441,5
